since,until,text,createdAt
2025-01-01,2025-01-31,Pekerjaan yang wajib digantikan AI = Hakim,Thu Jan 30 23:39:23 +0000 2025
2025-01-01,2025-01-31,ketika dikasih tau bahwa AI akan menggantikan manusia dengan pedenya ada orang bodoh + arogan malah ngomong  🗣️ Ah masa sih 🗣️ Nga mungkin bro lu cuman mimpi  silahkan skeptis tapi kedepannya antara lu semua dipecat atau gaji lu nga naik + hyper inflasi dan mampus lu semua..,Thu Jan 30 10:29:59 +0000 2025
2025-01-01,2025-01-31,Seperti e-Toll awalnya semua gak setuju karena PHK petugas karcis tapi sekarang terbukti efesien waktu dan uang. Sebaiknya tugas administrasi ASN di ganti robot Ai saja. @prabowo @gibran_tweet @KemenBUMN @kemendagri @DPR_RI @KemenkeuRI,Wed Jan 29 17:07:53 +0000 2025
2025-01-01,2025-01-31,"Rucking 40kg ini sebenarnya dalam rangka menyambut era AI, dimana PHK akan marak.  Targetnya bisa konsisten bawa 50kg.  Itu standar 1 sak semen. Jadi kalau nganggur, minimal bs jadi kuli bangunan.",Wed Jan 29 16:49:15 +0000 2025
2025-01-01,2025-01-31,"pertama kali masalah kerjaan solved by AI, langsung punya kesimpulan: sebenernya AI ini bukan masalah, malah bisa bantu kerja.. 5/10 taun kedepan jangan takut kehilangan kerja karena AI, tapi waspadalah dengan orang orang yang pandai komunikasi dengan AI...",Tue Jan 28 19:32:04 +0000 2025
2025-01-01,2025-01-31,"@sayangadeks @bbyberrygurl @FomoIndonesia Gw arahnya ga ke hak gblog, lu tau ga si bodoh prusahaan dluar itu udah pd phk dn diganti robot? Ya ini alasannya bnyk nuntut, beda sm ai yg kerja bs 24 jam ga bnyka nuntut, gw ngasih tau tlol bkn nglarang ambil hak kek pesangon apalgi nuntut",Fri Jan 24 22:11:18 +0000 2025
2025-01-01,2025-01-31,"Salah satu concern besar soal AI ini adalah bgm perkembangan teknologi ini tidak makin mendisrupsi media. Soal ini dimasukkan dalam pedoman @dewanpers itu dalam konsideran: AI itu membantu, jangan menggantikan. :)   https://t.co/uIoTqao0En https://t.co/rvgj2fpqCJ",Fri Jan 24 10:20:42 +0000 2025
2025-01-01,2025-01-31,"@BosPurwa Saya ga membela pak menteri, tapi ada yang janggal dari kasus ini. ASN yang dipecat mungkin saja dia berkinerja buruk, dan Pak Menteri sedang melakukan upaya bersih2 lembaganya. Kalau soal bukti rekaman suara, saya kurang yakin, karena sekarang itu jamannya AI.  Bisa saja AI.",Tue Jan 21 02:36:51 +0000 2025
2025-01-01,2025-01-31,"@vanc1Bozz ""AI katanya bakal bikin PHK massal. Di sini? PHK massal udah duluan, bahkan sebelum AI masuk. Karena di sini ada 'teknologi' lama: korupsi dan salah urus!""",Tue Jan 21 00:22:00 +0000 2025
2025-01-01,2025-01-31,Tragedi finansial 2030 yang sedang banyak di bicarakan.  Di pengaruhi oleh beberapa faktor  90% karena hadirnya Robot Ai super canggih yang menyebabkan PHK masal di ALL industri. Semua Lapangan kerja non tradisional akan hilang.,Sat Jan 18 11:36:59 +0000 2025
