text,cleaning,case_folding,normalisasi,tokenize,stopword removal,steming_data
Pekerjaan yang wajib digantikan AI = Hakim,Pekerjaan yang wajib digantikan AI  Hakim,pekerjaan yang wajib digantikan ai  hakim,pekerjaan yang wajib digantikan ai hakim,"['pekerjaan', 'yang', 'wajib', 'digantikan', 'ai', 'hakim']","['pekerjaan', 'wajib', 'digantikan', 'ai', 'hakim']",kerja wajib ganti ai hakim
ketika dikasih tau bahwa AI akan menggantikan manusia dengan pedenya ada orang bodoh + arogan malah ngomong  🗣️ Ah masa sih 🗣️ Nga mungkin bro lu cuman mimpi  silahkan skeptis tapi kedepannya antara lu semua dipecat atau gaji lu nga naik + hyper inflasi dan mampus lu semua..,ketika dikasih tau bahwa AI akan menggantikan manusia dengan pedenya ada orang bodoh  arogan malah ngomong   Ah masa sih  Nga mungkin bro lu cuman mimpi  silahkan skeptis tapi kedepannya antara lu semua dipecat atau gaji lu nga naik  hyper inflasi dan mampus lu semua,ketika dikasih tau bahwa ai akan menggantikan manusia dengan pedenya ada orang bodoh  arogan malah ngomong   ah masa sih  nga mungkin bro lu cuman mimpi  silahkan skeptis tapi kedepannya antara lu semua dipecat atau gaji lu nga naik  hyper inflasi dan mampus lu semua,ketika dikasih tau bahwa ai akan menggantikan manusia dengan pedenya ada orang bodoh arogan malah mengomong ah masa sih tidak mungkin bro kamu cuman mimpi silakan skeptis tapi kedepannya antara kamu semua dipecat atau gaji kamu tidak naik hyper inflasi dan mampus kamu semua,"['ketika', 'dikasih', 'tau', 'bahwa', 'ai', 'akan', 'menggantikan', 'manusia', 'dengan', 'pedenya', 'ada', 'orang', 'bodoh', 'arogan', 'malah', 'mengomong', 'ah', 'masa', 'sih', 'tidak', 'mungkin', 'bro', 'kamu', 'cuman', 'mimpi', 'silakan', 'skeptis', 'tapi', 'kedepannya', 'antara', 'kamu', 'semua', 'dipecat', 'atau', 'gaji', 'kamu', 'tidak', 'naik', 'hyper', 'inflasi', 'dan', 'mampus', 'kamu', 'semua']","['dikasih', 'tau', 'ai', 'menggantikan', 'manusia', 'pedenya', 'orang', 'bodoh', 'arogan', 'mengomong', 'ah', 'sih', 'bro', 'cuman', 'mimpi', 'silakan', 'skeptis', 'kedepannya', 'dipecat', 'gaji', 'hyper', 'inflasi', 'mampus']",kasih tau ai ganti manusia pedenya orang bodoh arogan omong ah sih bro cuman mimpi sila skeptis depan pecat gaji hyper inflasi mampus
Seperti e-Toll awalnya semua gak setuju karena PHK petugas karcis tapi sekarang terbukti efesien waktu dan uang. Sebaiknya tugas administrasi ASN di ganti robot Ai saja. @prabowo @gibran_tweet @KemenBUMN @kemendagri @DPR_RI @KemenkeuRI,Seperti eToll awalnya semua gak setuju karena PHK petugas karcis tapi sekarang terbukti efesien waktu dan uang Sebaiknya tugas administrasi ASN di ganti robot Ai saja,seperti etoll awalnya semua gak setuju karena phk petugas karcis tapi sekarang terbukti efesien waktu dan uang sebaiknya tugas administrasi asn di ganti robot ai saja,seperti awalnya semua tidak setuju karena phk petugas karcis tapi sekarang terbukti efesien waktu dan uang sebaiknya tugas administrasi asn di ganti robot ai saja,"['seperti', 'awalnya', 'semua', 'tidak', 'setuju', 'karena', 'phk', 'petugas', 'karcis', 'tapi', 'sekarang', 'terbukti', 'efesien', 'waktu', 'dan', 'uang', 'sebaiknya', 'tugas', 'administrasi', 'asn', 'di', 'ganti', 'robot', 'ai', 'saja']","['setuju', 'phk', 'petugas', 'karcis', 'terbukti', 'efesien', 'uang', 'tugas', 'administrasi', 'asn', 'ganti', 'robot', 'ai']",tuju phk tugas karcis bukti efesien uang tugas administrasi asn ganti robot ai
"Rucking 40kg ini sebenarnya dalam rangka menyambut era AI, dimana PHK akan marak.  Targetnya bisa konsisten bawa 50kg.  Itu standar 1 sak semen. Jadi kalau nganggur, minimal bs jadi kuli bangunan.",Rucking 40kg ini sebenarnya dalam rangka menyambut era AI dimana PHK akan marak  Targetnya bisa konsisten bawa 50kg  Itu standar 1 sak semen Jadi kalau nganggur minimal bs jadi kuli bangunan,rucking 40kg ini sebenarnya dalam rangka menyambut era ai dimana phk akan marak  targetnya bisa konsisten bawa 50kg  itu standar 1 sak semen jadi kalau nganggur minimal bs jadi kuli bangunan,rucking 40kg ini sebenarnya dalam rangka menyambut era ai dimana phk akan marak targetnya bisa konsisten bawa 50kg itu standar 1 sak semen jadi Jika nganggur minimal bisa jadi kuli bangunan,"['rucking', '40kg', 'ini', 'sebenarnya', 'dalam', 'rangka', 'menyambut', 'era', 'ai', 'dimana', 'phk', 'akan', 'marak', 'targetnya', 'bisa', 'konsisten', 'bawa', '50kg', 'itu', 'standar', '1', 'sak', 'semen', 'jadi', 'Jika', 'nganggur', 'minimal', 'bisa', 'jadi', 'kuli', 'bangunan']","['rucking', '40kg', 'rangka', 'menyambut', 'era', 'ai', 'dimana', 'phk', 'marak', 'targetnya', 'konsisten', 'bawa', '50kg', 'standar', '1', 'sak', 'semen', 'Jika', 'nganggur', 'minimal', 'kuli', 'bangunan']",rucking 40kg rangka sambut era ai mana phk marak target konsisten bawa 50kg standar 1 sak semen jika nganggur minimal kuli bangun
"pertama kali masalah kerjaan solved by AI, langsung punya kesimpulan: sebenernya AI ini bukan masalah, malah bisa bantu kerja.. 5/10 taun kedepan jangan takut kehilangan kerja karena AI, tapi waspadalah dengan orang orang yang pandai komunikasi dengan AI...",pertama kali masalah kerjaan solved by AI langsung punya kesimpulan sebenernya AI ini bukan masalah malah bisa bantu kerja 510 taun kedepan jangan takut kehilangan kerja karena AI tapi waspadalah dengan orang orang yang pandai komunikasi dengan AI,pertama kali masalah kerjaan solved by ai langsung punya kesimpulan sebenernya ai ini bukan masalah malah bisa bantu kerja 510 taun kedepan jangan takut kehilangan kerja karena ai tapi waspadalah dengan orang orang yang pandai komunikasi dengan ai,pertama kali masalah pekerjaan solved by ai langsung punya kesimpulan sebenarnya ai ini bukan masalah malah bisa bantu kerja 510 tahun kedepan jangan takut kehilangan kerja karena ai tapi waspadalah dengan orang orang yang pandai komunikasi dengan ai,"['pertama', 'kali', 'masalah', 'pekerjaan', 'solved', 'by', 'ai', 'langsung', 'punya', 'kesimpulan', 'sebenarnya', 'ai', 'ini', 'bukan', 'masalah', 'malah', 'bisa', 'bantu', 'kerja', '510', 'tahun', 'kedepan', 'jangan', 'takut', 'kehilangan', 'kerja', 'karena', 'ai', 'tapi', 'waspadalah', 'dengan', 'orang', 'orang', 'yang', 'pandai', 'komunikasi', 'dengan', 'ai']","['kali', 'pekerjaan', 'solved', 'by', 'ai', 'langsung', 'kesimpulan', 'ai', 'bantu', 'kerja', '510', 'kedepan', 'takut', 'kehilangan', 'kerja', 'ai', 'waspadalah', 'orang', 'orang', 'pandai', 'komunikasi', 'ai']",kali kerja solved by ai langsung simpul ai bantu kerja 510 depan takut hilang kerja ai waspada orang orang pandai komunikasi ai
"@sayangadeks @bbyberrygurl @FomoIndonesia Gw arahnya ga ke hak gblog, lu tau ga si bodoh prusahaan dluar itu udah pd phk dn diganti robot? Ya ini alasannya bnyk nuntut, beda sm ai yg kerja bs 24 jam ga bnyka nuntut, gw ngasih tau tlol bkn nglarang ambil hak kek pesangon apalgi nuntut",Gw arahnya ga ke hak gblog lu tau ga si bodoh prusahaan dluar itu udah pd phk dn diganti robot Ya ini alasannya bnyk nuntut beda sm ai yg kerja bs 24 jam ga bnyka nuntut gw ngasih tau tlol bkn nglarang ambil hak kek pesangon apalgi nuntut,gw arahnya ga ke hak gblog lu tau ga si bodoh prusahaan dluar itu udah pd phk dn diganti robot ya ini alasannya bnyk nuntut beda sm ai yg kerja bs 24 jam ga bnyka nuntut gw ngasih tau tlol bkn nglarang ambil hak kek pesangon apalgi nuntut,gue arahnya tidak ke hak goblok kamu tau tidak sih bodoh perusahaan diluar itu sudah pada phk dan diganti robot ya ini alasannya banyak menuntut beda sama ai yang kerja bisa 24 jam tidak banyak menuntut gue mengasih tau tolol bukan ngelarang ambil hak kayak pesangon apalagi menuntut,"['gue', 'arahnya', 'tidak', 'ke', 'hak', 'goblok', 'kamu', 'tau', 'tidak', 'sih', 'bodoh', 'perusahaan', 'diluar', 'itu', 'sudah', 'pada', 'phk', 'dan', 'diganti', 'robot', 'ya', 'ini', 'alasannya', 'banyak', 'menuntut', 'beda', 'sama', 'ai', 'yang', 'kerja', 'bisa', '24', 'jam', 'tidak', 'banyak', 'menuntut', 'gue', 'mengasih', 'tau', 'tolol', 'bukan', 'ngelarang', 'ambil', 'hak', 'kayak', 'pesangon', 'apalagi', 'menuntut']","['gue', 'arahnya', 'hak', 'goblok', 'tau', 'sih', 'bodoh', 'perusahaan', 'diluar', 'phk', 'diganti', 'robot', 'ya', 'alasannya', 'menuntut', 'beda', 'ai', 'kerja', '24', 'jam', 'menuntut', 'gue', 'mengasih', 'tau', 'tolol', 'ngelarang', 'ambil', 'hak', 'kayak', 'pesangon', 'menuntut']",gue arah hak goblok tau sih bodoh usaha luar phk ganti robot ya alas tuntut beda ai kerja 24 jam tuntut gue asih tau tolol ngelarang ambil hak kayak sangon tuntut
"Salah satu concern besar soal AI ini adalah bgm perkembangan teknologi ini tidak makin mendisrupsi media. Soal ini dimasukkan dalam pedoman @dewanpers itu dalam konsideran: AI itu membantu, jangan menggantikan. :)   https://t.co/uIoTqao0En https://t.co/rvgj2fpqCJ",Salah satu concern besar soal AI ini adalah bgm perkembangan teknologi ini tidak makin mendisrupsi media Soal ini dimasukkan dalam pedoman  itu dalam konsideran AI itu membantu jangan menggantikan,salah satu concern besar soal ai ini adalah bgm perkembangan teknologi ini tidak makin mendisrupsi media soal ini dimasukkan dalam pedoman  itu dalam konsideran ai itu membantu jangan menggantikan,salah satu concern besar soal ai ini adalah bgm perkembangan teknologi ini tidak makin mendisrupsi media soal ini dimasukkan dalam pedoman itu dalam konsideran ai itu membantu jangan menggantikan,"['salah', 'satu', 'concern', 'besar', 'soal', 'ai', 'ini', 'adalah', 'bgm', 'perkembangan', 'teknologi', 'ini', 'tidak', 'makin', 'mendisrupsi', 'media', 'soal', 'ini', 'dimasukkan', 'dalam', 'pedoman', 'itu', 'dalam', 'konsideran', 'ai', 'itu', 'membantu', 'jangan', 'menggantikan']","['salah', 'concern', 'ai', 'bgm', 'perkembangan', 'teknologi', 'mendisrupsi', 'media', 'dimasukkan', 'pedoman', 'konsideran', 'ai', 'membantu', 'menggantikan']",salah concern ai bgm kembang teknologi disrupsi media masuk pedoman konsideran ai bantu ganti
"@BosPurwa Saya ga membela pak menteri, tapi ada yang janggal dari kasus ini. ASN yang dipecat mungkin saja dia berkinerja buruk, dan Pak Menteri sedang melakukan upaya bersih2 lembaganya. Kalau soal bukti rekaman suara, saya kurang yakin, karena sekarang itu jamannya AI.  Bisa saja AI.",Saya ga membela pak menteri tapi ada yang janggal dari kasus ini ASN yang dipecat mungkin saja dia berkinerja buruk dan Pak Menteri sedang melakukan upaya bersih2 lembaganya Kalau soal bukti rekaman suara saya kurang yakin karena sekarang itu jamannya AI  Bisa saja AI,saya ga membela pak menteri tapi ada yang janggal dari kasus ini asn yang dipecat mungkin saja dia berkinerja buruk dan pak menteri sedang melakukan upaya bersih2 lembaganya kalau soal bukti rekaman suara saya kurang yakin karena sekarang itu jamannya ai  bisa saja ai,saya tidak membela pak menteri tapi ada yang janggal dari kasus ini asn yang dipecat mungkin saja dia berkinerja buruk dan pak menteri sedang melakukan upaya bersih2 lembaganya Jika soal bukti rekaman suara saya kurang yakin karena sekarang itu jamannya ai bisa saja ai,"['saya', 'tidak', 'membela', 'pak', 'menteri', 'tapi', 'ada', 'yang', 'janggal', 'dari', 'kasus', 'ini', 'asn', 'yang', 'dipecat', 'mungkin', 'saja', 'dia', 'berkinerja', 'buruk', 'dan', 'pak', 'menteri', 'sedang', 'melakukan', 'upaya', 'bersih2', 'lembaganya', 'Jika', 'soal', 'bukti', 'rekaman', 'suara', 'saya', 'kurang', 'yakin', 'karena', 'sekarang', 'itu', 'jamannya', 'ai', 'bisa', 'saja', 'ai']","['membela', 'menteri', 'janggal', 'asn', 'dipecat', 'berkinerja', 'buruk', 'menteri', 'upaya', 'bersih2', 'lembaganya', 'Jika', 'bukti', 'rekaman', 'suara', 'jamannya', 'ai', 'ai']",bela menteri janggal asn pecat kerja buruk menteri upaya bersih2 lembaga jika bukti rekam suara jaman ai ai
"@vanc1Bozz ""AI katanya bakal bikin PHK massal. Di sini? PHK massal udah duluan, bahkan sebelum AI masuk. Karena di sini ada 'teknologi' lama: korupsi dan salah urus!""",AI katanya bakal bikin PHK massal Di sini PHK massal udah duluan bahkan sebelum AI masuk Karena di sini ada teknologi lama korupsi dan salah urus,ai katanya bakal bikin phk massal di sini phk massal udah duluan bahkan sebelum ai masuk karena di sini ada teknologi lama korupsi dan salah urus,ai katanya bakal bikin phk massal di sini phk massal sudah duluan bahkan sebelum ai masuk karena di sini ada teknologi lama korupsi dan salah urus,"['ai', 'katanya', 'bakal', 'bikin', 'phk', 'massal', 'di', 'sini', 'phk', 'massal', 'sudah', 'duluan', 'bahkan', 'sebelum', 'ai', 'masuk', 'karena', 'di', 'sini', 'ada', 'teknologi', 'lama', 'korupsi', 'dan', 'salah', 'urus']","['ai', 'bikin', 'phk', 'massal', 'phk', 'massal', 'duluan', 'ai', 'masuk', 'teknologi', 'korupsi', 'salah', 'urus']",ai bikin phk massal phk massal duluan ai masuk teknologi korupsi salah urus
Tragedi finansial 2030 yang sedang banyak di bicarakan.  Di pengaruhi oleh beberapa faktor  90% karena hadirnya Robot Ai super canggih yang menyebabkan PHK masal di ALL industri. Semua Lapangan kerja non tradisional akan hilang.,Tragedi finansial 2030 yang sedang banyak di bicarakan  Di pengaruhi oleh beberapa faktor  90 karena hadirnya Robot Ai super canggih yang menyebabkan PHK masal di ALL industri Semua Lapangan kerja non tradisional akan hilang,tragedi finansial 2030 yang sedang banyak di bicarakan  di pengaruhi oleh beberapa faktor  90 karena hadirnya robot ai super canggih yang menyebabkan phk masal di all industri semua lapangan kerja non tradisional akan hilang,tragedi finansial 2030 yang sedang banyak di bicarakan di pengaruhi oleh beberapa faktor 90 karena hadirnya robot ai super canggih yang menyebabkan phk masal di semua industri semua lapangan kerja non tradisional akan hilang,"['tragedi', 'finansial', '2030', 'yang', 'sedang', 'banyak', 'di', 'bicarakan', 'di', 'pengaruhi', 'oleh', 'beberapa', 'faktor', '90', 'karena', 'hadirnya', 'robot', 'ai', 'super', 'canggih', 'yang', 'menyebabkan', 'phk', 'masal', 'di', 'semua', 'industri', 'semua', 'lapangan', 'kerja', 'non', 'tradisional', 'akan', 'hilang']","['tragedi', 'finansial', '2030', 'bicarakan', 'pengaruhi', 'faktor', '90', 'hadirnya', 'robot', 'ai', 'super', 'canggih', 'menyebabkan', 'phk', 'masal', 'industri', 'lapangan', 'kerja', 'non', 'tradisional', 'hilang']",tragedi finansial 2030 bicara pengaruh faktor 90 hadir robot ai super canggih sebab phk masal industri lapang kerja non tradisional hilang
